invoice_number,customer_name,due_date,total,balance,status,is_emailed,organization
INV-059691,Whitelaw Transportation Solutions,2025-04-01,101.7,101.7,overdue,True,GoFleet Corporation
INV-059686,Precise Logistics Inc,2025-03-31,33.9,0.6,overdue,True,GoFleet Corporation
INV-059676,JRC Trucking LLC,2025-03-31,20.57,20.57,overdue,True,GoFleet Corporation
INV-059641,Burnbrae Farms - Mississauga (ON),2025-03-31,1192.72,1192.72,overdue,True,GoFleet Corporation
INV-059631,Nevada Department of Transportation (NDOT),2025-04-02,72706.75,72706.75,overdue,False,GoFleet Corporation
INV-059621,Dedicated Transport Inc.,2025-03-30,27.12,27.12,overdue,True,GoFleet Corporation
INV-059619,The Electronic Recycling Association (ERA),2025-03-30,128.88,128.88,overdue,True,GoFleet Corporation
INV-059610,Mag Mile Logistic,2025-03-30,46.0,46.0,overdue,True,GoFleet Corporation
INV-059574,ClearPath Utility Solutions LLC,2025-03-30,1715.7,1715.7,overdue,True,GoFleet Corporation
INV-059565,LC Construction,2025-03-30,337.6,337.6,overdue,True,GoFleet Corporation
INV-059561,Beaver Valley Environmental LLC,2025-03-30,156.15,156.15,overdue,True,GoFleet Corporation
INV-059557,CR&R Waste,2025-02-28,30509.0,30509.0,overdue,True,GoFleet Corporation
INV-059555,Pilot Freight Services,2025-03-30,25.9,25.9,overdue,True,GoFleet Corporation
INV-059548,Trinity Communication,2025-04-29,2576.4,2576.4,overdue,True,GoFleet Corporation
INV-059487,VNH Enterprises,2025-03-29,290.0,290.0,overdue,True,GoFleet Corporation
INV-059484,Cascades Canada ULC,2025-03-29,45.2,45.2,overdue,True,GoFleet Corporation
INV-059474,CR&R Waste,2025-03-28,1462.0,1462.0,overdue,True,GoFleet Corporation
INV-059473,Mamba Global Logistics LLC,2025-03-28,23.0,23.0,overdue,True,GoFleet Corporation
INV-059456,Aecon Utilities (US) Ltd.,2025-03-27,146.0,146.0,overdue,True,GoFleet Corporation
INV-059439,JAW Logistics Corp,2025-03-27,29.85,29.85,overdue,True,GoFleet Corporation
INV-059405,NMPHC,2025-03-26,273.45,273.45,overdue,True,GoFleet Corporation
INV-059383,Trash Inc,2025-03-25,105.93,105.93,overdue,True,GoFleet Corporation
INV-059366,CanWing Travel LTD,2025-03-24,124.3,124.3,overdue,True,GoFleet Corporation
INV-059359,Central Arizona Transport,2025-03-24,2983.91,2983.91,overdue,True,GoFleet Corporation
INV-059350,Tolko Industries - Southern Interior (SIW),2025-03-24,1140.5,1140.5,overdue,True,GoFleet Corporation
INV-059340,Foss National Leasing Ltd.,2025-03-23,1323.23,1323.23,overdue,True,GoFleet Corporation
INV-059339,Foss National Leasing Ltd.,2025-03-23,586.47,586.47,overdue,True,GoFleet Corporation
INV-059338,Foss National Leasing Ltd.,2025-03-23,1323.23,1323.23,overdue,True,GoFleet Corporation
INV-059333,Foss National Leasing Ltd.,2025-03-23,770.66,770.66,overdue,True,GoFleet Corporation
INV-059323,Cascades Holding US Inc,2025-03-23,2548.4,1290.5,overdue,True,GoFleet Corporation
INV-059303,Nevius Entreprises LLC,2025-03-22,69.0,69.0,overdue,True,GoFleet Corporation
INV-059301,DS Pipe and Steel Supply,2025-03-22,1022.0,112.0,overdue,True,GoFleet Corporation
INV-059279,VLocity Group,2025-03-22,515.0,515.0,overdue,True,GoFleet Corporation
INV-059254,Smith Casing,2025-03-21,50.0,50.0,overdue,True,GoFleet Corporation
INV-059232,Truck Transfer - Mississauga,2025-03-21,1245.26,1245.26,overdue,True,GoFleet Corporation
INV-059223,Miles Tire,2025-03-21,406.58,406.58,overdue,True,GoFleet Corporation
INV-059221,Cascades Canada ULC,2025-03-20,372.28,372.28,overdue,True,GoFleet Corporation
INV-059175,SKO Logistics,2025-03-18,23.69,23.69,overdue,True,GoFleet Corporation
INV-059161,G&I Logistics,2025-03-18,1594.74,1594.74,overdue,True,GoFleet Corporation
INV-059141,Mill Street Brewery,2025-03-17,123.74,123.74,overdue,True,GoFleet Corporation
INV-059124,Beltway Driving Academy,2025-03-17,149.04,149.04,overdue,True,GoFleet Corporation
INV-059085,CR&R Waste,2025-03-15,1956.0,1956.0,overdue,True,GoFleet Corporation
INV-059058,TRI-AIR SYSTEMS,2025-02-13,488.16,9.0,overdue,True,GoFleet Corporation
INV-059041,Oregon Department of Transportation (ODOT),2025-03-13,37972.2,37972.2,overdue,False,GoFleet Corporation
INV-059038,Midnight Hauling,2025-03-14,36.0,36.0,overdue,True,GoFleet Corporation
INV-058993,"Highland Global, Inc.",2025-03-12,91.53,91.53,overdue,True,GoFleet Corporation
INV-058977,Unique Store Fixtures Ltd,2025-03-12,152.33,152.33,overdue,True,GoFleet Corporation
