invoice_number,customer_name,due_date,total,balance,payment_mode,organization
INV-061213,AST Express,2025-05-19,1606.8,0.0,N/A,GoFleet Corporation
INV-061212,USA Global Communications,2025-05-19,868.25,0.0,N/A,GoFleet Corporation
INV-061210,Smith Casing,2025-05-19,723.83,0.0,N/A,GoFleet Corporation
INV-061209,Wildwood Rental Supply,2025-05-19,83.43,0.0,N/A,GoFleet Corporation
INV-061201,Zim Sailing,2025-05-18,21.0,0.0,N/A,GoFleet Corporation
INV-061200,Coast Distributors,2025-05-18,24.7,0.0,N/A,GoFleet Corporation
INV-061199,Mathurin Malivert Family Transport LLc,2025-05-18,23.69,0.0,N/A,GoFleet Corporation
INV-061198,LM And Sons LLC,2025-05-18,41.2,0.0,N/A,GoFleet Corporation
INV-061197,T&T Express inc,2025-05-18,311.58,0.0,N/A,GoFleet Corporation
INV-061195,Summit Oil Field Services,2025-05-18,1120.64,0.0,N/A,GoFleet Corporation
INV-061193,Westpoint Logistics,2025-05-18,50.85,0.0,N/A,GoFleet Corporation
INV-061189,Peel Restoration Group Ltd.,2025-05-18,27.7,0.0,N/A,GoFleet Corporation
INV-061188,Wild Electric Ltd,2025-05-18,192.84,0.0,N/A,GoFleet Corporation
INV-061187,STARMAX TRANSPORT LTD,2025-05-18,294.28,0.0,N/A,GoFleet Corporation
INV-061186,Shoreline Express Inc,2025-05-18,0.0,0.0,N/A,GoFleet Corporation
INV-061185,Mar-Tec Woodworking Ltd.,2025-05-18,162.56,0.0,N/A,GoFleet Corporation
INV-061184,Break Away Hotshot Ltd,2025-04-17,995.64,0.0,N/A,GoFleet Corporation
INV-061183,Costy's Energy Service,2025-05-17,0.0,0.0,N/A,GoFleet Corporation
INV-061182,AllPro Auto Reconditioning,2025-05-17,0.0,0.0,N/A,GoFleet Corporation
INV-061181,DBC Group,2025-05-17,0.0,0.0,N/A,GoFleet Corporation
INV-061180,Break Away Hotshot Ltd,2025-04-17,995.64,0.0,N/A,GoFleet Corporation
INV-061179,"Edge CCTV, Inc. - Gofleet",2025-05-17,0.0,0.0,N/A,GoFleet Corporation
INV-061178,Nesbitt Realty,2025-05-17,0.0,0.0,N/A,GoFleet Corporation
INV-061177,FieldsView Farms,2025-05-17,38.99,0.0,N/A,GoFleet Corporation
INV-061176,Bright Lumber Inc,2025-05-17,46.0,0.0,N/A,GoFleet Corporation
INV-061175,Bucksnort Hauling LLC,2025-05-17,23.0,0.0,N/A,GoFleet Corporation
INV-061173,Under Pressure Mechanical Ltd,2025-05-17,166.47,0.0,N/A,GoFleet Corporation
INV-061172,Cbencomo,2025-05-17,30.0,0.0,N/A,GoFleet Corporation
INV-061170,HLJ Corporate Service,2025-05-17,27.12,0.0,N/A,GoFleet Corporation
INV-061169,KJ Excavating Inc,2025-05-17,25.99,0.0,N/A,GoFleet Corporation
INV-061168,Capaldi Development,2025-05-17,22.0,0.0,N/A,GoFleet Corporation
INV-061167,National Bait,2025-05-17,34.41,0.0,N/A,GoFleet Corporation
INV-061166,SPRING COOL TRANSFER INC,2025-05-17,20.6,0.0,N/A,GoFleet Corporation
INV-061163,Cousins Freight Services Ltd,2025-05-17,37.59,0.0,N/A,GoFleet Corporation
INV-061140,Diabolical haulerz,2025-04-16,576.3,0.0,N/A,GoFleet Corporation
INV-061133,Coast Distributors,2025-05-16,526.4,0.0,N/A,GoFleet Corporation
INV-061127,Fisher Companies,2025-05-16,50.0,0.0,N/A,GoFleet Corporation
INV-061126,"Bonafide Transportation Services, LLC",2025-04-16,118.45,0.0,N/A,GoFleet Corporation
INV-061125,Roofs Transportation LLC,2025-05-16,46.0,0.0,N/A,GoFleet Corporation
INV-061124,Red Rock Recycling,2025-05-16,175.0,0.0,N/A,GoFleet Corporation
INV-061122,Amigo International Services Inc.,2025-05-16,40.68,0.0,N/A,GoFleet Corporation
INV-061120,"VP Specialized Carriers, Inc.",2025-05-16,103.96,0.0,N/A,GoFleet Corporation
INV-061119,Tampa Hall Limited,2025-05-16,57.7,0.0,N/A,GoFleet Corporation
INV-061118,WNY steel Expeditors,2025-05-16,70.91,0.0,N/A,GoFleet Corporation
INV-061117,North Beach Realty LLC,2025-05-16,107.79,0.0,N/A,GoFleet Corporation
INV-061115,Wickens Dry Ice Blasting,2025-05-16,658.51,0.0,N/A,GoFleet Corporation
INV-061113,G&I Logistics,2025-05-16,1189.98,0.0,N/A,GoFleet Corporation
INV-061112,Enterprise Century Laser,2025-05-16,14.5,0.0,N/A,GoFleet Corporation
INV-061111,Total Landscape,2025-05-16,692.4,0.0,N/A,GoFleet Corporation
INV-061109,First Mechanical Systems Ltd,2025-05-16,676.2,0.0,N/A,GoFleet Corporation
INV-061105,ClearBlue Infrastructure Group,2025-05-16,119.44,0.0,N/A,GoFleet Corporation
INV-061104,Municipality of South Huron,2025-05-16,932.25,0.0,N/A,GoFleet Corporation
INV-061100,Venue Vision Media Systems- (Gofleet reseller),2025-05-15,0.0,0.0,N/A,GoFleet Corporation
INV-060227-1,Darch Fire Inc,2025-04-18,341.26,0.0,N/A,GoFleet Corporation
INV-061093,Beard's Farm Supply Limited,2025-05-15,27.12,0.0,N/A,GoFleet Corporation
INV-061092,Wolfenburg Roofing,2025-05-15,126.0,0.0,N/A,GoFleet Corporation
INV-061089,Golden box transport LLC,2025-05-15,23.0,0.0,N/A,GoFleet Corporation
INV-061088,Platinum Tool Technologies,2025-05-15,27.12,0.0,N/A,GoFleet Corporation
INV-061085,The Packaging Store,2025-05-15,40.14,0.0,N/A,GoFleet Corporation
INV-061084,The Grounds Guys of Caledon,2025-05-15,281.78,0.0,N/A,GoFleet Corporation
INV-061083,CNG Services LLC,2025-05-15,553.11,0.0,N/A,GoFleet Corporation
INV-061080,Ridgeway Plumbing,2025-05-15,5482.0,0.0,N/A,GoFleet Corporation
INV-061079,CONTROLTEK INCORPORATED,2025-05-15,57.58,0.0,N/A,GoFleet Corporation
INV-061076,Proactive Industrial Inc,2025-05-15,173.1,0.0,N/A,GoFleet Corporation
INV-061075,SRS National,2025-05-15,790.0,0.0,N/A,GoFleet Corporation
INV-061074,"RHL Companies, Inc.",2025-05-15,1918.37,0.0,N/A,GoFleet Corporation
INV-061070,Taracon Logistics,2025-05-15,1696.41,0.0,N/A,GoFleet Corporation
INV-061069,Larry Potter Magicians,2025-05-15,51.93,0.0,N/A,GoFleet Corporation
INV-061058,TPS Group Of Companies,2025-05-15,1577.59,0.0,N/A,GoFleet Corporation
INV-061056,Grape Escape Wine Tours,2025-05-15,193.87,0.0,N/A,GoFleet Corporation
INV-061054,Meals on Wheels Collin County,2025-05-14,120.0,0.0,N/A,GoFleet Corporation
INV-061052,UCO Transportationa and Parking Services,2025-05-14,50.0,0.0,N/A,GoFleet Corporation
INV-061050,Hi Roller Transport INC,2025-05-14,25.78,0.0,N/A,GoFleet Corporation
INV-061049,Seed Solutions,2025-05-14,106.17,0.0,N/A,GoFleet Corporation
INV-061048,colossus security,2025-05-14,292.61,0.0,N/A,GoFleet Corporation
INV-061047,Spectaire,2025-05-14,59.0,0.0,N/A,GoFleet Corporation
INV-061046,DNR Logistics LLC,2025-05-14,25.7,0.0,N/A,GoFleet Corporation
INV-061045,2514652 ONTARIO LTD,2025-05-14,51.98,0.0,N/A,GoFleet Corporation
