invoice_number,customer_name,due_date,total,balance,status,payment_mode,organization
INV-010474,"Pro-Vac, LLC (Fiix Customer)",2025-03-15,1614.0,0.0,paid,N/A,Zenduit Corporation
INV-010473,Efficient Fleets,2025-03-14,50.0,0.0,paid,N/A,Zenduit Corporation
INV-010472,Meridith Baer Home (T-Mobile Client),2025-03-14,73.5,0.0,paid,N/A,Zenduit Corporation
INV-010471,"Fleet Nav Systems, LLC.",2025-03-14,171.0,0.0,paid,N/A,Zenduit Corporation
INV-010470,Traxxis GPS Solutions,2025-03-14,105.0,0.0,paid,N/A,Zenduit Corporation
INV-010469,Traxxis GPS Solutions,2025-03-14,0.0,0.0,paid,N/A,Zenduit Corporation
INV-010468,Traxxis GPS Solutions,2025-03-14,498.75,0.0,paid,N/A,Zenduit Corporation
INV-010467,Asset - Hawk,2025-03-14,383.0,0.0,paid,N/A,Zenduit Corporation
INV-010466,Dynasty provisions,2025-03-14,60.0,0.0,paid,N/A,Zenduit Corporation
INV-010465,HBC Distributors (dba IPN Express) T-Mobile Customer,2025-03-14,392.0,0.0,paid,N/A,Zenduit Corporation
INV-010464,Dynasty Communications,2025-03-14,234.0,0.0,paid,N/A,Zenduit Corporation
INV-010463,City of Vernon,2025-03-14,175.14,0.0,paid,N/A,Zenduit Corporation
INV-010462,GISCAD Guyana Inc,2025-03-13,4189.35,0.0,paid,N/A,Zenduit Corporation
INV-010461,Traxxis GPS Solutions,2025-03-13,438.0,0.0,paid,N/A,Zenduit Corporation
INV-010460,Rapid Wireless,2025-03-12,288.25,288.25,overdue,N/A,Zenduit Corporation
INV-010459,SoCal Rentals (T-Mobile Client),2025-03-12,36.0,0.0,paid,N/A,Zenduit Corporation
INV-010458,Santosa Delivery (T-Mobile Client),2025-03-12,108.0,0.0,paid,N/A,Zenduit Corporation
INV-010457,"A & V Reality Transportation , LLC",2025-03-12,486.0,0.0,paid,N/A,Zenduit Corporation
INV-010456,Northern Business Intelligence,2025-03-12,89.7,0.0,paid,N/A,Zenduit Corporation
INV-010455,"DICAN, Inc.",2025-03-27,2064.61,0.0,paid,N/A,Zenduit Corporation
INV-010454,Play Telematics / Eye Drivers,2025-03-11,269.15,269.15,overdue,N/A,Zenduit Corporation
INV-010453,EcoTrack Fleet Management,2025-03-11,60.0,0.0,paid,N/A,Zenduit Corporation
INV-010452,Line Drive Trucking (T-Mobile Customer),2025-03-11,1500.0,0.0,paid,N/A,Zenduit Corporation
INV-010451,Platinum Energy Services,2025-03-11,402.5,0.0,paid,N/A,Zenduit Corporation
INV-010450,GPS to GO Ltd.,2025-03-11,99.47,0.0,paid,N/A,Zenduit Corporation
INV-010449,ASAP Trucking Company LLC,2025-03-11,392.0,0.0,paid,N/A,Zenduit Corporation
INV-010448,Furst McNess Company,2025-03-10,75.0,0.0,paid,N/A,Zenduit Corporation
INV-010447,Apex Wireless,2025-03-10,545.0,0.0,paid,N/A,Zenduit Corporation
INV-010446,QUALTRACKS,2025-03-10,21.5,0.0,paid,N/A,Zenduit Corporation
INV-010445,QES Pressure Control,2025-03-10,1590.0,0.0,paid,N/A,Zenduit Corporation
INV-010444,Grupo Invictus,2025-03-09,23.21,0.0,paid,N/A,Zenduit Corporation
